beer_style,subgroup_14,subgroup_2,subgroup_5,subgroup_pale,subgroup_IPA,subgroup_color
Euro Pale Lager,Pale Lager,Lager,Pale Lager,Other,Other,Pale
Euro Strong Lager,Pale Lager,Lager,Pale Lager,Other,Other,Pale
Extra Special / Strong Bitter (ESB),Pale Ale,Ale,Pale Ale,Other,Pale Ale,Pale
Faro,Sour Ale,Ale,Sour Ale,Other,Other,Other
Flanders Oud Bruin,Specialty,Ale,Sour Ale,Other,Other,Other
Flanders Red Ale,Pale Ale,Ale,Pale Ale,Pale Ale,Pale Ale,Pale
Foreign / Export Stout,Stout,Ale,Dark Ale,Other,Other,Dark
Fruit / Vegetable Beer,Fruit/Veggie Beer,Ale,Pale Ale,Fruit/Veggie Beer,Pale Ale,Pale
German Pilsener,Pale Lager,Lager,Pale Lager,Other,Other,Pale
Gose,Sour Ale,Ale,Sour Ale,Other,Other,Other
Gueuze,Sour Ale,Ale,Sour Ale,Other,Other,Other
Happoshu,Specialty,Lager,Pale Lager,Other,Other,Pale
Hefeweizen,Wheat Beer,Ale,Pale Ale,Wheat Beer,Pale Ale,Pale
Herbed / Spiced Beer,Fruit/Veggie Beer,Ale,Pale Ale,Fruit/Veggie Beer,Pale Ale,Pale
Irish Dry Stout,Stout,Ale,Dark Ale,Other,Other,Dark
Irish Red Ale,Pale Ale,Ale,Pale Ale,Pale Ale,Pale Ale,Pale
Japanese Rice Lager,Specialty,Lager,Pale Lager,Other,Other,Pale
Keller Bier / Zwickel Bier,Pale Lager,Lager,Pale Lager,Other,Other,Pale
Kolsch,Pale Ale,Ale,Pale Ale,Pale Ale,Pale Ale,Pale
Kristalweizen,Specialty,Ale,Pale Ale,Wheat Beer,Pale Ale,Pale
Kvass,Specialty,Ale,Specialty,Other,Other,Other
Lambic - Fruit,Fruit/Veggie Beer,Ale,Sour Ale,Other,Other,Other
Lambic - Unblended,Fruit/Veggie Beer,Ale,Sour Ale,Other,Other,Other
Light Lager,Pale Lager,Lager,Pale Lager,Other,Other,Pale
Low Alcohol Beer,Specialty,Ale,Specialty,Other,Other,Other
Maibock / Helles Bock,Bock,Lager,Dark Lager,Other,Other,Dark
Marzen / Oktoberfest,Pale Lager,Lager,Pale Lager,Other,Other,Pale
Milk / Sweet Stout,Stout,Ale,Dark Ale,Other,Other,Dark
Munich Dunkel Lager,Dark Lager,Lager,Dark Lager,Other,Other,Dark
Munich Helles Lager,Pale Lager,Lager,Pale Lager,Other,Other,Pale
Oatmeal Stout,Stout,Ale,Dark Ale,Other,Other,Dark
Old Ale,Specialty,Ale,Specialty,Other,Other,Other
Pumpkin Ale,Fruit/Veggie Beer,Ale,Pale Ale,Fruit/Veggie Beer,Pale Ale,Pale
Quadrupel (Quad),Strong Ale,Ale,Dark Ale,Other,Other,Dark
Rauchbier,Pale Lager,Lager,Pale Lager,Other,Other,Pale
Roggenbier,Specialty,Ale,Specialty,Other,Other,Other
Russian Imperial Stout,Stout,Ale,Dark Ale,Other,Other,Dark
Rye Beer,Specialty,Ale,Specialty,Other,Other,Other
Sahti,Specialty,Ale,Specialty,Other,Other,Other
Saison / Farmhouse Ale,Pale Ale,Ale,Pale Ale,Pale Ale,Pale Ale,Pale
Schwarzbier,Dark Lager,Lager,Dark Lager,Other,Other,Dark
Scotch Ale / Wee Heavy,Dark Ale,Ale,Dark Ale,Other,Other,Dark
Scottish Ale,Dark Ale,Ale,Dark Ale,Other,Other,Dark
Scottish Gruit / Ancient Herbed Ale,Fruit/Veggie Beer,Ale,Pale Ale,Fruit/Veggie Beer,Pale Ale,Pale
Smoked Beer,Specialty,Ale,Specialty,Other,Other,Other
Tripel,Strong Ale,Ale,Dark Ale,Other,Other,Dark
Vienna Lager,Dark Lager,Lager,Dark Lager,Other,Other,Dark
Weizenbock,Bock,Lager,Dark Lager,Other,Other,Dark
Wheatwine,Strong Ale,Ale,Dark Ale,Other,Other,Dark
Winter Warmer,Strong Ale,Ale,Dark Ale,Other,Other,Dark
Witbier,Wheat Beer,Ale,Pale Ale,Wheat Beer,Pale Ale,Pale
